0, 563
0, 560
1, 563
1, 549
1, 553
2, 548
2, 560
2, 556
28, 557
66, 559
104, 570
145, 569
187, 572
229, 568
270, 564
312, 564
354, 564
395, 558
437, 564
479, 562
520, 568
562, 554
604, 561
645, 559
687, 566
729, 548
770, 556
812, 569
854, 556
894, 563
936, 550
978, 552
1019, 559
1065, 556
1112, 556
1158, 555
1203, 563
1249, 558
1295, 563
1341, 557
1386, 566
1432, 561
1478, 560
1524, 549
1569, 567
1615, 555
1661, 560
1708, 557
1753, 557
1799, 558
1845, 563
1890, 567
1936, 548
1982, 555
2028, 564
2073, 551
2119, 549
2165, 546
2211, 549
2256, 554
2302, 557
2349, 558
2395, 552
2440, 549
2486, 556
2532, 556
2578, 544
2623, 556
2669, 551
2715, 551
2761, 556
2806, 555
2852, 549
2898, 555
2945, 553
2990, 556
3036, 559
3082, 551
3127, 551
3173, 546
3219, 556
3265, 555
3310, 558
3356, 545
3402, 557
3448, 554
3493, 558
3539, 554
3586, 548
3632, 549
3677, 550
3723, 553
3769, 554
3815, 564
3860, 554
3906, 558
3952, 557
3998, 550
4043, 551
4089, 557
4135, 552
4182, 556
4227, 554
4273, 558
4319, 550
4365, 544
4410, 553
4456, 554
4502, 551
4547, 553
4593, 549
4639, 560
4685, 544
4730, 551
4776, 553
4823, 552
4869, 554
4914, 566
4960, 566
5006, 560
5052, 562
5097, 558
5143, 557
5189, 564
5235, 562
5280, 562
5326, 561
5372, 557
5419, 561
5464, 567
5510, 565
5556, 564
5602, 564
5647, 571
5693, 570
5739, 569
5784, 556
5830, 573
5876, 561
5922, 569
5967, 563
6013, 563
6060, 558
6106, 563
6151, 564
6197, 563
6243, 563
6289, 565
6334, 562
6380, 554
6426, 564
6472, 567
6517, 561
6563, 563
6609, 565
6656, 566
6701, 564
6747, 561
6793, 564
6839, 566
6884, 567
6930, 576
6976, 553
7021, 553
7067, 563
7113, 553
7159, 568
7204, 569
7250, 572
7297, 567
7343, 568
7388, 565
7434, 570
7480, 568
7526, 569
7571, 573
7617, 567
7663, 560
7709, 565
7754, 562
7800, 568
7846, 566
7892, 569
7938, 557
7984, 570
8030, 574
8076, 573
8121, 570
8167, 567
8213, 568
8259, 566
8304, 574
8350, 567
8396, 570
8441, 570
8487, 568
8534, 572
8580, 561
8625, 569
8671, 563
8717, 567
8763, 576
8808, 567
8854, 576
8900, 564
8946, 563
8991, 568
9037, 561
9083, 565
9129, 567
9175, 567
9221, 561
9267, 568
9313, 566
9358, 568
9404, 572
9450, 567
9496, 563
9541, 563
9587, 560
9633, 566
9678, 561
9724, 569
9771, 558
9817, 572
9862, 569
9908, 562
9954, 574
10000, 563
